name,description,price,imageUrl,category,stock
Thai Silke Pute 2-pak,Luksuriøse putebetrekk i ekte thai silke. Levende farger og intricate broderi. 50x50cm. Maskinvaskbar. Gir et eksotisk preg til hjemmet.,799,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800,Thailand,35
Muay Thai Boksehansker,Autentiske Muay Thai-hansker fra Top King Bangkok. Ekte lær med håndstøping. Brukt av profesjonelle boksere i Thailand. 10-16 oz.,899,https://images.unsplash.com/photo-1544117519-31a4b719223d?w=800,Thailand,45
Thai Kokebokpakke med Krydder,Autentisk thai kokebokpakke med 5 eksotiske krydder direkte fra Thailand. Inkl. galangal karri sitrongress og kokosmjøl. Perfekt for hjemmelaget thai-mat.,399,https://images.unsplash.com/photo-1466637574441-749b8f19452f?w=800,Thailand,60
Batik Skjorte Håndlaget Thailand,Håndlagd batik-skjorte i bomull fra Thailand. Unik fargeblødteknikk gir hvert plagg et unikt mønster. Lett og pustende. Str S-XXL.,499,https://images.unsplash.com/photo-1523381210434-271e8be1f52b?w=800,Thailand,55
Thai Buddha Meditasjonsstatue,Bronsefarget resinstatue av mediterende Buddha. Høyde 30cm. Symbol på ro og visdom. Håndpaintert med gull detaljer fra Thailand.,649,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Thailand,30
Nike Air Zoom Pegasus 41,Verdens mest populære løpesko med Zoom Air-demping. Lett og responsivt mellomsåle. Passer alle typer løpere. Str 36-47.,1299,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,Sport,65
Garmin Forerunner 965,Premium GPS-sportsklokke med AMOLED-skjerm. Kartnavigasjon pulsmåling og treningsanalyse. 31 dagers batteritid i smartklokkemodus.,6499,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=800,Sport,20
Theragun Prime Massasjepistol,Profesjonell perkusjonsmassasje for muskelrestituering. 5 innebygde hastigheter og 4 vedlegg. Stille motor med kun 45dB. App-tilkobling via Bluetooth.,2999,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800,Sport,35
Charlotte Tilbury Magic Cream,Ikonisk fuktighetskrem brukt av verdens beste makeupkunstnere. Hyaluronsyre vitamin C og E. Gir plump og strålende hud på kun 10 minutter.,699,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?w=800,Skjønnhet,40
La Mer Crème de la Mer,Legendarisk fuktighetskrem med Miracle Broth fra dyphavsalger. Reparerer og forynger huden. Favoritt blant kjendiser og hudpleieeksperter.,2499,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=800,Skjønnhet,20
Nespresso Vertuo Next,Elegant kaffemaskinsystem som lager perfekt kaffe espresso og lungo med ett klikk. Centrifusion-teknologi leser automatisk hver kapsels strekkode.,1299,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800,Hjemmet,40
Le Creuset Støpejernspanne 28cm,Ikonisk franskt støpejern i signatur-oransje. Fordeler varmen perfekt og tåler alle koketopper inkl. induksjon. Livsvarig garanti. En investering for livet.,2499,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Hjemmet,25
Philips Hue Startpakke,Smart belysningssystem med 3 fargeskiftende LED-pærer og bridge. 16 millioner farger og justerbar hvitbalanse. Kontroller med app eller stemme.,999,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Hjemmet,50
Roomba i7+ Robotstøvsuger,Selvtømmende robotstøvsuger med Smart Mapping-teknologi. Lærer seg hjemmet ditt og støvsuger automatisk. Tømmer seg selv i 60 dager. App-styring.,6999,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Hjemmet,15
Canada Goose Expedition Parka,Ikonisk ekstremvær-parka godkjent for -30°C. Coyote-pels-krage og 625-fill gåsedun. Brukt av vitenskapsmenn på Antarktis. Norsk vinter? Ingen problem.,14999,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?w=800,Klær,20
